0,3.6862316527834187,-inf,-inf,-416.8137683472173,-2497.4080940285776,-1644.72572688441,-680.8137683472162,-216.8137683472165,-56.813768347216346,-inf
1,-inf,87.84907110866394,22.04252041427828,-inf,-591.357619343502,-1037.7298692687868,-276.67249895893235,-3967.06968161906,-9980.952667089057,15.060667282562974
2,-inf,22.04252041427828,130.7800850138628,-inf,-1740.3042110946137,-48.10222250015212,-263.21155549442506,-921.8602844363267,-3742.3806967433266,-40.156152907106886
3,-416.8137683472173,-inf,-inf,3.6862316527834187,-inf,-inf,-inf,-inf,-inf,-inf
4,-2497.4080940285776,-591.357619343502,-1740.3042110946137,-inf,60.44228755188032,-5777.923464412501,-inf,-4340.440577402976,-1675.031807660446,-1974.7100627102752
5,-1644.72572688441,-1037.7298692687868,-48.10222250015212,-inf,-5777.923464412501,33.722827802798854,-414.4684313040917,-22.475726031531078,-492.4757264376654,-392.10527268283136
6,-680.8137683472162,-276.67249895893235,-263.21155549442506,-inf,-inf,-414.4684313040917,3.6862316527834182,-124.31376834721644,-334.3137683472168,-127.59101000053991
7,-216.8137683472165,-3967.06968161906,-921.8602844363267,-inf,-4340.440577402976,-22.475726031531078,-124.31376834721644,3.6862316527834187,-46.31376834721675,-1333.6710100005382
8,-56.813768347216346,-9980.952667089057,-3742.3806967433266,-inf,-1675.031807660446,-492.4757264376654,-334.3137683472168,-46.31376834721675,3.6862316527834182,-3466.3376766672095
9,-inf,15.060667282562974,-40.156152907106886,-inf,-1974.7100627102752,-392.10527268283136,-127.59101000053991,-1333.6710100005382,-3466.3376766672095,47.991565928569045
